Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SHEMAROO,EQ,05-Nov-2014,161.50,162.50,166.00,160.20,161.50,161.20,163.93,49138,80.55,751,40760,82.95
SHEMAROO,EQ,07-Nov-2014,161.20,161.20,162.45,160.00,160.05,160.05,160.61,20402,32.77,408,14995,73.50
SHEMAROO,EQ,10-Nov-2014,160.05,160.70,162.85,159.05,160.95,160.30,160.31,39621,63.52,272,35052,88.47
SHEMAROO,EQ,11-Nov-2014,160.30,160.05,167.00,160.00,164.80,164.20,164.44,148843,244.75,1081,124819,83.86
SHEMAROO,EQ,12-Nov-2014,164.20,165.45,170.50,162.60,165.25,166.05,167.24,153740,257.12,2239,61463,39.98
SHEMAROO,EQ,13-Nov-2014,166.05,166.00,168.75,163.00,163.75,163.25,165.20,27158,44.86,406,16892,62.20
SHEMAROO,EQ,14-Nov-2014,163.25,162.25,167.75,162.20,165.00,165.10,165.30,29516,48.79,434,22355,75.74
SHEMAROO,EQ,17-Nov-2014,165.10,166.00,174.50,164.00,173.00,172.75,170.19,123998,211.03,1927,75652,61.01
SHEMAROO,EQ,18-Nov-2014,172.75,174.00,195.90,173.80,185.90,186.15,188.65,714880,1348.63,11238,172944,24.19
SHEMAROO,EQ,19-Nov-2014,186.15,187.75,192.35,178.00,182.00,181.30,185.48,224149,415.74,3863,77988,34.79
SHEMAROO,EQ,20-Nov-2014,181.30,217.40,217.40,200.10,205.50,205.75,206.23,987159,2035.77,14389,363822,36.86
SHEMAROO,EQ,21-Nov-2014,205.75,208.80,209.60,197.10,205.50,205.15,203.48,317856,646.78,4423,132785,41.78
SHEMAROO,EQ,24-Nov-2014,205.15,207.65,209.00,201.55,205.35,204.95,206.19,233866,482.20,3153,103209,44.13
SHEMAROO,EQ,25-Nov-2014,204.95,207.00,207.00,190.70,195.65,194.80,197.61,126856,250.68,2287,55347,43.63
SHEMAROO,EQ,26-Nov-2014,194.80,194.65,201.00,192.95,199.30,198.50,198.08,80191,158.84,1360,39776,49.60
SHEMAROO,EQ,27-Nov-2014,198.50,198.00,207.50,198.00,204.00,203.95,203.22,131494,267.22,1879,55571,42.26
SHEMAROO,EQ,28-Nov-2014,203.95,200.00,206.00,199.00,200.00,200.35,202.20,55345,111.91,1179,27913,50.43
SHEMAROO,EQ,01-Dec-2014,200.35,200.00,203.90,192.65,194.25,193.80,197.28,44933,88.65,833,24806,55.21
SHEMAROO,EQ,02-Dec-2014,193.80,194.40,196.95,190.20,193.00,193.80,193.65,39010,75.54,1039,17127,43.90
SHEMAROO,EQ,03-Dec-2014,193.80,195.00,198.00,191.00,194.00,192.85,194.93,35610,69.42,843,14828,41.64
SHEMAROO,EQ,04-Dec-2014,192.85,194.00,195.10,185.95,187.00,187.15,191.00,43762,83.58,831,25286,57.78
SHEMAROO,EQ,05-Dec-2014,187.15,185.00,193.95,185.00,185.55,187.65,189.72,49225,93.39,1156,23225,47.18
SHEMAROO,EQ,08-Dec-2014,187.65,194.95,194.95,182.40,184.85,184.15,185.67,31163,57.86,839,16807,53.93
SHEMAROO,EQ,09-Dec-2014,184.15,182.30,183.15,172.00,177.00,176.10,177.13,60881,107.84,1222,41849,68.74
SHEMAROO,EQ,10-Dec-2014,176.10,176.25,178.75,168.60,171.00,171.55,173.69,44811,77.83,1236,27686,61.78
SHEMAROO,EQ,11-Dec-2014,171.55,172.00,172.00,161.10,168.70,167.90,166.41,56549,94.10,1057,32543,57.55
SHEMAROO,EQ,12-Dec-2014,167.90,168.60,172.10,164.00,164.00,165.80,169.37,33840,57.31,655,19936,58.91
SHEMAROO,EQ,15-Dec-2014,165.80,164.00,167.95,161.10,162.20,161.90,164.92,22087,36.43,501,13877,62.83
SHEMAROO,EQ,16-Dec-2014,161.90,167.85,167.85,156.25,157.30,158.45,160.03,33326,53.33,645,24223,72.68
SHEMAROO,EQ,17-Dec-2014,158.45,157.00,159.80,145.00,155.50,154.60,153.93,32065,49.36,899,16691,52.05
SHEMAROO,EQ,18-Dec-2014,154.60,157.20,166.00,156.20,159.50,159.60,160.10,22346,35.78,426,17655,79.01
SHEMAROO,EQ,19-Dec-2014,159.60,165.30,165.30,158.00,158.55,158.95,160.13,37637,60.27,511,29364,78.02
SHEMAROO,EQ,22-Dec-2014,158.95,159.75,164.70,159.60,161.00,161.70,161.32,27736,44.75,517,18536,66.83
SHEMAROO,EQ,23-Dec-2014,161.70,161.50,162.65,159.00,160.80,160.30,160.47,13274,21.30,282,10532,79.34
SHEMAROO,EQ,24-Dec-2014,160.30,159.55,161.00,158.00,158.70,159.25,159.21,20550,32.72,241,18184,88.49
SHEMAROO,EQ,26-Dec-2014,159.25,162.70,162.70,157.00,159.00,158.75,159.12,16238,25.84,163,14349,88.37
SHEMAROO,EQ,29-Dec-2014,158.75,157.00,161.50,157.00,161.00,160.00,159.33,12855,20.48,229,10327,80.33
SHEMAROO,EQ,30-Dec-2014,160.00,161.00,162.00,159.15,160.75,160.90,160.73,7318,11.76,215,5511,75.31
SHEMAROO,EQ,31-Dec-2014,160.90,161.75,164.30,160.25,162.80,163.30,163.04,21685,35.36,387,19465,89.76
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SHEMAROO,EQ,01-Jan-2015,163.30,163.00,176.00,162.05,169.95,169.35,170.20,34530,58.77,935,21815,63.18
SHEMAROO,EQ,02-Jan-2015,169.35,168.25,201.00,168.25,192.00,192.25,191.86,551543,1058.19,13111,171392,31.08
SHEMAROO,EQ,05-Jan-2015,192.25,198.10,199.10,185.55,190.50,189.95,190.80,130395,248.80,2340,60593,46.47
SHEMAROO,EQ,06-Jan-2015,189.95,188.00,188.00,173.95,176.35,176.35,180.20,200970,362.14,1891,177965,88.55
SHEMAROO,EQ,07-Jan-2015,176.35,177.05,182.00,171.70,174.50,173.65,176.20,60327,106.30,794,48130,79.78
SHEMAROO,EQ,08-Jan-2015,173.65,178.75,193.90,178.75,186.00,186.50,188.27,245997,463.13,4440,126320,51.35
SHEMAROO,EQ,09-Jan-2015,186.50,187.85,189.85,184.10,186.80,185.65,186.05,42208,78.53,1370,29773,70.54
SHEMAROO,EQ,12-Jan-2015,185.65,183.10,187.50,183.00,184.00,184.30,184.86,29592,54.70,904,25720,86.92
SHEMAROO,EQ,13-Jan-2015,184.30,182.10,189.00,181.60,184.95,186.25,185.24,24675,45.71,944,15495,62.80
SHEMAROO,EQ,14-Jan-2015,186.25,182.10,188.95,179.00,182.00,182.50,183.03,40140,73.47,1087,30171,75.16
SHEMAROO,EQ,15-Jan-2015,182.50,194.00,194.00,182.50,182.60,184.20,183.94,13441,24.72,348,9402,69.95
SHEMAROO,EQ,16-Jan-2015,184.20,185.95,189.00,182.20,188.80,187.50,186.07,29509,54.91,588,22117,74.95
SHEMAROO,EQ,19-Jan-2015,187.50,187.05,197.00,187.00,195.00,195.10,194.63,209191,407.15,2483,159130,76.07
SHEMAROO,EQ,20-Jan-2015,195.10,195.10,202.85,194.95,197.35,199.85,198.69,176968,351.61,4351,122338,69.13
SHEMAROO,EQ,21-Jan-2015,199.85,203.50,239.80,196.05,239.80,239.80,230.38,1096546,2526.26,14428,526960,48.06
SHEMAROO,EQ,22-Jan-2015,239.80,244.70,277.65,241.40,252.00,248.25,255.80,804594,2058.16,18650,259639,32.27
SHEMAROO,EQ,23-Jan-2015,248.25,250.00,293.00,247.95,264.00,265.90,270.75,1021658,2766.15,28156,440660,43.13
SHEMAROO,EQ,27-Jan-2015,265.90,269.80,271.20,245.95,249.80,251.90,256.10,110605,283.26,4113,35655,32.24
SHEMAROO,EQ,28-Jan-2015,251.90,253.80,253.80,228.60,237.10,234.30,236.34,107602,254.31,3031,50002,46.47
SHEMAROO,EQ,29-Jan-2015,234.30,234.05,252.00,227.30,238.10,238.60,233.29,339062,791.01,3678,270143,79.67
SHEMAROO,EQ,30-Jan-2015,238.60,242.40,250.95,231.10,232.90,235.70,240.97,62665,151.00,1947,19521,31.15
SHEMAROO,EQ,02-Feb-2015,235.70,235.95,236.90,230.15,236.90,233.85,232.63,20328,47.29,740,10433,51.32
SHEMAROO,EQ,03-Feb-2015,233.85,234.00,243.60,231.45,232.10,232.55,236.25,35111,82.95,1606,12531,35.69
SHEMAROO,EQ,04-Feb-2015,232.55,235.35,238.50,223.00,224.00,227.90,231.07,111124,256.78,1358,95736,86.15
SHEMAROO,EQ,05-Feb-2015,227.90,234.95,234.95,212.50,212.50,215.20,222.62,72723,161.90,2901,30354,41.74
SHEMAROO,EQ,06-Feb-2015,215.20,215.00,215.45,206.00,210.50,208.40,209.95,113029,237.30,1239,89108,78.84
SHEMAROO,EQ,09-Feb-2015,208.40,188.25,224.00,188.25,220.00,215.90,214.03,59146,126.59,2044,14019,23.70
SHEMAROO,EQ,10-Feb-2015,215.90,216.00,221.00,206.95,209.00,209.45,211.37,29976,63.36,807,19936,66.51
SHEMAROO,EQ,11-Feb-2015,209.45,211.05,226.00,210.60,212.35,212.65,217.12,62636,135.99,1848,34293,54.75
SHEMAROO,EQ,12-Feb-2015,212.65,214.75,224.40,210.00,219.75,219.20,215.91,45779,98.84,1179,22269,48.64
SHEMAROO,EQ,13-Feb-2015,219.20,219.95,223.00,215.45,218.40,217.20,218.85,33342,72.97,699,22786,68.34
SHEMAROO,EQ,16-Feb-2015,217.20,217.05,221.00,213.00,215.00,214.95,214.92,13293,28.57,499,7900,59.43
SHEMAROO,EQ,18-Feb-2015,214.95,214.95,218.00,209.20,209.25,210.95,213.09,23587,50.26,400,18615,78.92
SHEMAROO,EQ,19-Feb-2015,210.95,209.50,214.60,207.25,210.00,210.25,210.06,24864,52.23,420,19020,76.50
SHEMAROO,EQ,20-Feb-2015,210.25,210.65,217.00,209.00,209.00,210.40,211.73,9135,19.34,384,5854,64.08
SHEMAROO,EQ,23-Feb-2015,210.40,210.05,212.00,198.80,199.00,203.40,206.69,10884,22.50,408,7827,71.91
SHEMAROO,EQ,24-Feb-2015,203.40,203.55,217.00,199.00,202.50,203.15,204.10,159539,325.61,1424,119561,74.94
SHEMAROO,EQ,25-Feb-2015,203.15,208.00,208.00,203.05,204.00,204.50,204.78,8561,17.53,312,5019,58.63
SHEMAROO,EQ,26-Feb-2015,204.50,204.60,210.10,200.30,203.00,202.80,205.13,13134,26.94,569,3936,29.97
SHEMAROO,EQ,27-Feb-2015,202.80,204.05,207.00,199.90,203.90,203.20,202.24,11339,22.93,308,6876,60.64
SHEMAROO,EQ,28-Feb-2015,203.20,203.95,210.85,203.90,208.10,209.05,208.67,25477,53.16,569,17464,68.55
SHEMAROO,EQ,02-Mar-2015,209.05,207.00,216.05,206.25,212.90,213.45,212.32,19976,42.41,511,13271,66.43
SHEMAROO,EQ,03-Mar-2015,213.45,215.50,228.90,213.00,223.00,222.40,221.37,48221,106.75,1139,22915,47.52
SHEMAROO,EQ,04-Mar-2015,222.40,224.80,231.90,205.10,216.00,214.65,224.28,56731,127.24,1644,19112,33.69
SHEMAROO,EQ,05-Mar-2015,214.65,210.65,222.75,210.65,213.00,214.25,215.61,38540,83.10,720,24057,62.42
SHEMAROO,EQ,09-Mar-2015,214.25,214.00,232.50,210.25,215.90,215.20,223.93,106509,238.51,2323,42197,39.62
SHEMAROO,EQ,10-Mar-2015,215.20,215.00,224.90,215.00,217.65,216.05,219.01,22636,49.58,628,11066,48.89
SHEMAROO,EQ,11-Mar-2015,216.05,216.20,219.90,213.70,216.00,214.65,215.93,12913,27.88,364,9227,71.46
SHEMAROO,EQ,12-Mar-2015,214.65,214.95,219.40,211.25,214.00,214.50,215.46,11303,24.35,341,6958,61.56
SHEMAROO,EQ,13-Mar-2015,214.50,214.55,217.00,204.00,207.95,206.25,209.84,19883,41.72,654,14479,72.82
SHEMAROO,EQ,16-Mar-2015,206.25,233.90,233.90,211.00,214.00,212.55,219.15,275477,603.72,5311,113837,41.32
SHEMAROO,EQ,17-Mar-2015,212.55,214.65,219.00,213.00,215.40,214.90,215.87,63247,136.53,1767,21256,33.61
SHEMAROO,EQ,18-Mar-2015,214.90,215.90,222.50,213.10,214.00,214.40,218.50,90342,197.40,1785,19832,21.95
SHEMAROO,EQ,19-Mar-2015,214.40,214.90,217.50,204.00,204.05,205.85,212.12,40167,85.20,1286,28202,70.21
SHEMAROO,EQ,20-Mar-2015,205.85,206.05,210.85,202.20,203.20,203.45,205.84,22867,47.07,531,16086,70.35
SHEMAROO,EQ,23-Mar-2015,203.45,212.55,212.55,192.50,193.90,193.15,197.39,30524,60.25,896,23190,75.97
SHEMAROO,EQ,24-Mar-2015,193.15,192.00,195.00,184.45,185.15,188.45,188.56,26132,49.27,848,16086,61.56
SHEMAROO,EQ,25-Mar-2015,188.45,190.10,194.00,182.00,182.00,183.70,186.54,19209,35.83,623,13725,71.45
SHEMAROO,EQ,26-Mar-2015,183.70,183.00,185.00,170.50,174.00,173.90,178.22,47374,84.43,948,31694,66.90
SHEMAROO,EQ,27-Mar-2015,173.90,175.00,180.60,172.90,174.00,175.20,177.42,34142,60.58,933,25044,73.35
SHEMAROO,EQ,30-Mar-2015,175.20,181.00,185.90,176.20,179.50,179.95,180.16,47357,85.32,601,42398,89.53
SHEMAROO,EQ,31-Mar-2015,179.95,181.00,191.95,180.95,183.40,183.35,185.46,34109,63.26,799,20786,60.94
SHEMAROO,EQ,01-Apr-2015,183.35,183.95,186.00,181.00,184.00,184.15,183.91,70546,129.74,1204,52646,74.63
SHEMAROO,EQ,06-Apr-2015,184.15,188.90,188.90,183.00,183.50,183.85,184.22,60445,111.35,521,53494,88.50
SHEMAROO,EQ,07-Apr-2015,183.85,184.90,187.90,181.05,183.75,183.80,183.44,37919,69.56,514,32481,85.66
SHEMAROO,EQ,08-Apr-2015,183.80,187.70,198.00,184.20,192.50,192.00,191.95,57042,109.49,1266,30822,54.03
SHEMAROO,EQ,09-Apr-2015,192.00,197.00,198.00,188.10,196.00,195.05,194.55,138413,269.29,877,113801,82.22
SHEMAROO,EQ,10-Apr-2015,195.05,198.45,201.40,193.15,194.75,194.65,196.08,160027,313.79,817,137364,85.84
SHEMAROO,EQ,13-Apr-2015,194.65,196.40,198.60,195.00,197.95,197.90,196.60,24647,48.46,421,18685,75.81
SHEMAROO,EQ,15-Apr-2015,197.90,199.60,199.60,193.40,194.20,195.00,195.23,82592,161.25,413,79608,96.39
SHEMAROO,EQ,16-Apr-2015,195.00,197.50,198.00,189.00,194.45,196.20,193.96,19375,37.58,432,11635,60.05
SHEMAROO,EQ,17-Apr-2015,196.20,192.55,196.00,186.25,187.00,187.40,190.44,26659,50.77,463,22676,85.06
SHEMAROO,EQ,20-Apr-2015,187.40,188.05,194.00,186.00,186.90,187.15,187.57,33429,62.70,454,25842,77.30
SHEMAROO,EQ,21-Apr-2015,187.15,189.80,192.00,185.55,187.50,187.50,188.50,21752,41.00,446,17032,78.30
SHEMAROO,EQ,22-Apr-2015,187.50,189.65,190.00,183.05,187.75,187.95,187.92,37815,71.06,418,34068,90.09
SHEMAROO,EQ,23-Apr-2015,187.95,195.95,195.95,187.25,193.00,188.65,189.68,14883,28.23,434,11717,78.73
SHEMAROO,EQ,24-Apr-2015,188.65,191.75,192.00,180.25,182.50,181.60,184.79,17528,32.39,647,11834,67.51
SHEMAROO,EQ,27-Apr-2015,181.60,183.00,183.00,173.00,174.00,174.60,178.55,31208,55.72,554,25835,82.78
SHEMAROO,EQ,28-Apr-2015,174.60,177.35,177.50,171.50,175.95,174.05,174.22,108326,188.72,287,105747,97.62
SHEMAROO,EQ,29-Apr-2015,174.05,175.05,187.00,175.00,187.00,185.05,179.51,57994,104.10,358,53580,92.39
SHEMAROO,EQ,30-Apr-2015,185.05,189.00,189.00,184.00,185.00,185.25,185.87,7732,14.37,217,5761,74.51
SHEMAROO,EQ,04-May-2015,185.25,188.45,194.95,188.45,194.15,193.40,192.55,14903,28.70,327,9898,66.42
SHEMAROO,EQ,05-May-2015,193.40,190.05,206.00,190.05,205.55,203.80,202.05,63611,128.52,1217,41913,65.89
SHEMAROO,EQ,06-May-2015,203.80,205.45,211.90,192.00,192.90,193.55,201.30,50312,101.28,1018,32052,63.71
SHEMAROO,EQ,07-May-2015,193.55,203.00,209.00,198.30,205.00,204.55,203.76,228334,465.26,5014,45856,20.08
SHEMAROO,EQ,08-May-2015,204.55,207.20,210.00,200.55,202.65,203.25,206.77,53114,109.82,1411,24699,46.50
SHEMAROO,EQ,11-May-2015,203.25,206.35,226.25,201.00,225.50,219.70,216.72,98648,213.79,1721,54826,55.58
SHEMAROO,EQ,12-May-2015,219.70,219.90,235.00,212.00,213.10,213.60,223.31,238620,532.87,6340,96343,40.38
SHEMAROO,EQ,13-May-2015,213.60,215.00,225.00,215.00,221.00,219.20,220.56,76634,169.02,1881,40215,52.48
SHEMAROO,EQ,14-May-2015,219.20,219.00,221.75,214.00,215.10,215.95,216.96,18997,41.22,843,9982,52.55
SHEMAROO,EQ,15-May-2015,215.95,217.05,221.25,215.05,215.10,215.90,219.84,168684,370.83,1594,158584,94.01
SHEMAROO,EQ,18-May-2015,215.90,215.95,219.60,211.00,212.50,214.05,215.33,14118,30.40,506,10284,72.84
SHEMAROO,EQ,19-May-2015,214.05,214.10,216.00,210.30,211.00,211.70,214.46,138588,297.21,649,133614,96.41
SHEMAROO,EQ,20-May-2015,211.70,213.05,236.00,210.30,228.50,227.75,224.80,167460,376.44,3847,91920,54.89
SHEMAROO,EQ,21-May-2015,227.75,223.55,236.65,218.55,231.00,231.50,231.57,99298,229.95,2950,35154,35.40
SHEMAROO,EQ,22-May-2015,231.50,233.70,234.95,228.00,229.05,231.80,230.60,22297,51.42,591,13748,61.66
SHEMAROO,EQ,25-May-2015,231.80,231.00,236.00,227.40,229.20,229.35,231.01,34789,80.36,606,29481,84.74
SHEMAROO,EQ,26-May-2015,229.35,228.95,230.80,220.00,229.00,229.50,227.54,20617,46.91,668,12619,61.21
SHEMAROO,EQ,27-May-2015,229.50,233.45,235.00,225.00,233.00,233.25,232.19,46154,107.17,746,35854,77.68
SHEMAROO,EQ,28-May-2015,233.25,239.30,248.05,235.00,245.90,244.15,242.96,131235,318.85,2831,64980,49.51
SHEMAROO,EQ,29-May-2015,244.15,250.00,250.00,239.00,246.00,245.65,244.03,110707,270.16,1256,63500,57.36
SHEMAROO,EQ,01-Jun-2015,245.65,248.40,248.40,237.40,241.95,242.00,242.44,30379,73.65,674,21563,70.98
SHEMAROO,EQ,02-Jun-2015,242.00,244.80,248.00,223.10,230.00,229.50,237.97,34900,83.05,831,25764,73.82
SHEMAROO,EQ,03-Jun-2015,229.50,229.00,236.10,211.00,215.00,213.25,220.00,66949,147.29,1376,47998,71.69
SHEMAROO,EQ,04-Jun-2015,213.25,215.85,240.80,215.10,222.85,223.10,220.13,27059,59.57,757,17396,64.29
SHEMAROO,EQ,05-Jun-2015,223.10,223.95,244.40,216.30,229.50,229.65,227.02,41963,95.27,901,27353,65.18
SHEMAROO,EQ,08-Jun-2015,229.65,229.95,229.95,220.00,222.00,221.70,223.70,20331,45.48,718,10450,51.40
SHEMAROO,EQ,09-Jun-2015,221.70,222.05,224.95,214.20,217.00,216.60,218.74,15240,33.34,704,6802,44.63
SHEMAROO,EQ,10-Jun-2015,216.60,219.65,224.10,216.00,217.00,217.70,220.03,10819,23.81,409,6664,61.60
SHEMAROO,EQ,11-Jun-2015,217.70,218.05,223.00,210.30,210.30,211.00,214.27,20186,43.25,469,14952,74.07
SHEMAROO,EQ,12-Jun-2015,211.00,212.00,216.00,195.55,205.50,206.95,210.54,15422,32.47,539,6825,44.25
SHEMAROO,EQ,15-Jun-2015,206.95,201.60,218.00,201.60,216.95,215.90,213.90,11554,24.71,264,8716,75.44
SHEMAROO,EQ,16-Jun-2015,215.90,209.30,221.00,209.30,220.00,219.70,217.96,12864,28.04,352,8110,63.04
SHEMAROO,EQ,17-Jun-2015,219.70,221.10,229.00,216.55,223.75,225.15,224.19,35500,79.59,1083,15821,44.57
SHEMAROO,EQ,18-Jun-2015,225.15,225.05,229.00,221.00,223.00,225.05,225.74,8403,18.97,262,5050,60.10
SHEMAROO,EQ,19-Jun-2015,225.05,224.90,229.00,223.40,225.00,224.65,225.77,12210,27.57,342,8967,73.44
SHEMAROO,EQ,22-Jun-2015,224.65,220.05,246.00,220.05,239.00,237.50,234.54,31601,74.12,804,16981,53.74
SHEMAROO,EQ,23-Jun-2015,237.50,239.00,244.90,230.00,234.00,231.40,236.10,27059,63.89,794,18410,68.04
SHEMAROO,EQ,24-Jun-2015,231.40,231.05,242.00,230.00,238.00,239.15,237.76,29261,69.57,1029,18658,63.76
SHEMAROO,EQ,25-Jun-2015,239.15,238.05,243.00,233.05,240.30,240.50,239.18,21469,51.35,649,11359,52.91
SHEMAROO,EQ,26-Jun-2015,240.50,241.00,242.95,236.25,238.55,239.55,240.24,11155,26.80,297,9370,84.00
SHEMAROO,EQ,29-Jun-2015,239.55,235.00,242.90,222.00,240.00,240.15,237.14,20490,48.59,607,15648,76.37
SHEMAROO,EQ,30-Jun-2015,240.15,240.00,248.60,237.50,245.50,246.90,244.02,15944,38.91,393,11244,70.52
SHEMAROO,EQ,01-Jul-2015,246.90,243.00,252.45,243.00,245.00,245.75,247.56,11199,27.72,412,5808,51.86
SHEMAROO,EQ,02-Jul-2015,245.75,243.05,249.55,240.60,241.95,242.35,243.66,6578,16.03,269,3899,59.27
SHEMAROO,EQ,03-Jul-2015,242.35,241.15,244.95,237.00,240.00,240.65,241.42,12420,29.98,486,5812,46.80
SHEMAROO,EQ,06-Jul-2015,240.65,236.00,245.00,234.10,244.00,242.00,240.52,47204,113.54,610,39322,83.30
SHEMAROO,EQ,07-Jul-2015,242.00,240.30,244.50,240.00,241.00,240.25,241.15,18348,44.25,478,11948,65.12
SHEMAROO,EQ,08-Jul-2015,240.25,240.00,247.80,236.00,245.00,245.25,241.21,18576,44.81,423,13916,74.91
SHEMAROO,EQ,09-Jul-2015,245.25,249.85,250.00,241.40,245.00,244.25,245.35,9789,24.02,307,6394,65.32
SHEMAROO,EQ,10-Jul-2015,244.25,242.55,246.90,236.35,239.00,240.85,241.68,7243,17.51,326,4350,60.06
SHEMAROO,EQ,13-Jul-2015,240.85,232.35,241.50,232.35,239.80,240.30,240.26,9203,22.11,222,7696,83.62
SHEMAROO,EQ,14-Jul-2015,240.30,238.05,268.90,238.05,259.90,257.40,255.49,61702,157.64,1644,26856,43.53
SHEMAROO,EQ,15-Jul-2015,257.40,259.80,265.00,245.00,248.00,247.75,254.76,29352,74.78,1019,14453,49.24
SHEMAROO,EQ,16-Jul-2015,247.75,242.05,265.00,242.05,264.20,262.55,260.77,65768,171.50,1504,36251,55.12
SHEMAROO,EQ,17-Jul-2015,262.55,267.50,272.00,260.30,263.00,265.25,266.56,40363,107.59,1127,19647,48.68
SHEMAROO,EQ,20-Jul-2015,265.25,265.00,277.00,260.00,273.80,275.00,273.17,49330,134.76,1210,30229,61.28
SHEMAROO,EQ,21-Jul-2015,275.00,278.20,321.85,276.20,295.60,295.95,304.49,397883,1211.50,9663,93367,23.47
